timestamp;mode;server_pool;operation;volume;client_pool;avg_time_s;throughput_Bps;success;fail
2025-05-25T10:50:43.691592;process;1;list;50;1;0.00;-;1;0
2025-05-25T10:50:45.773960;process;5;list;50;1;0.00;-;1;0
2025-05-25T10:50:47.851384;process;50;list;50;1;0.00;-;1;0
2025-05-25T10:50:49.936183;process;1;list;50;5;0.00;-;5;0
2025-05-25T10:50:52.025131;process;5;list;50;5;0.00;-;5;0
2025-05-25T10:50:54.116901;process;50;list;50;5;0.00;-;5;0
2025-05-25T10:50:56.253443;process;1;list;50;50;0.01;-;50;0
2025-05-25T10:50:58.383998;process;5;list;50;50;0.02;-;50;0
2025-05-25T10:51:00.523400;process;50;list;50;50;0.02;-;50;0
2025-05-25T10:51:02.630961;process;1;list;100;1;0.00;-;1;0
2025-05-25T10:51:04.711614;process;5;list;100;1;0.00;-;1;0
2025-05-25T10:51:06.804633;process;50;list;100;1;0.00;-;1;0
2025-05-25T10:51:08.884906;process;1;list;100;5;0.00;-;5;0
2025-05-25T10:51:10.972644;process;5;list;100;5;0.00;-;5;0
2025-05-25T10:51:13.060699;process;50;list;100;5;0.00;-;5;0
2025-05-25T10:51:15.191548;process;1;list;100;50;0.02;-;50;0
2025-05-25T10:51:17.328557;process;5;list;100;50;0.01;-;50;0
2025-05-25T10:51:19.467011;process;50;list;100;50;0.02;-;50;0
